query_id,user_id,query_type,candidate_count,positive_personalization_event_count,zero_personalization_event_count,personalization_event_weight_sum,full_graph_ppr_score_sum,event_only_ppr_score_sum,component_count
tokyo_356419_semantic,356419,semantic,33,33,0,1,1,0.739931869902965,1
tokyo_356419_temporal_spatial,356419,temporal_spatial,33,33,0,1,1,0.739955752565042,1
tokyo_35718_relational_after,35718,relational_after,26,26,0,1,1,0.735769097113058,2
tokyo_35718_semantic,35718,semantic,26,26,0,1,1,0.735587679603583,2
tokyo_35718_temporal_spatial,35718,temporal_spatial,26,26,0,1,1,0.735614503898699,2
tokyo_362630_relational_after,362630,relational_after,24,24,0,1,1,0.717931310750136,6
tokyo_362630_semantic,362630,semantic,24,24,0,1,1,0.717920988973378,6
tokyo_362630_temporal_spatial,362630,temporal_spatial,24,24,0,1,1,0.717937886569582,6
tokyo_36487_relational_after,36487,relational_after,54,54,0,1,1,0.736110632665704,1
tokyo_36487_semantic,36487,semantic,54,54,0,1,1,0.736069110919521,1
tokyo_36487_temporal_spatial,36487,temporal_spatial,54,54,0,1,1,0.735838526430983,1
tokyo_365381_relational_after,365381,relational_after,24,24,0,1,1,0.728463844031294,3
tokyo_365381_semantic,365381,semantic,24,24,0,1,1,0.728128790442609,3
tokyo_365381_temporal_spatial,365381,temporal_spatial,24,24,0,1,1,0.72839727224354,3
tokyo_41088_relational_after,41088,relational_after,77,77,0,1,1,0.747390109576467,1
tokyo_41088_semantic,41088,semantic,77,77,0,1,1,0.747317371829,1
tokyo_41088_temporal_spatial,41088,temporal_spatial,77,77,0,1,1,0.747366885762935,1
tokyo_42282_relational_after,42282,relational_after,24,24,0,1,1,0.724592643261026,4
tokyo_42282_semantic,42282,semantic,24,24,0,1,1,0.724340168579836,4
tokyo_42282_temporal_spatial,42282,temporal_spatial,24,24,0,1,1,0.724358512901129,4
tokyo_44616_relational_after,44616,relational_after,39,39,0,1,1,0.745491999854075,1
tokyo_44616_semantic,44616,semantic,39,39,0,1,1,0.745407554817119,1
tokyo_44616_temporal_spatial,44616,temporal_spatial,39,39,0,1,1,0.745522494548063,1
tokyo_45189_relational_after,45189,relational_after,25,25,0,1,1,0.729662733274807,2
tokyo_45189_semantic,45189,semantic,25,25,0,1,1,0.729438643602549,2
tokyo_45189_temporal_spatial,45189,temporal_spatial,25,25,0,1,1,0.729467241767108,2
tokyo_45205_relational_after,45205,relational_after,140,140,0,1,1,0.749830312969216,1
tokyo_45205_semantic,45205,semantic,140,140,0,1,1,0.749694944339448,1
tokyo_45205_temporal_spatial,45205,temporal_spatial,140,140,0,1,1,0.749917687624657,1
tokyo_50046_relational_after,50046,relational_after,55,55,0,1,1,0.725602034977604,2
tokyo_50046_semantic,50046,semantic,55,55,0,1,1,0.725524398489653,2
tokyo_50046_temporal_spatial,50046,temporal_spatial,55,55,0,1,1,0.725557737445942,2
tokyo_51031_relational_after,51031,relational_after,49,49,0,1,1,0.732916201609227,2
tokyo_51031_semantic,51031,semantic,49,49,0,1,1,0.733007073612432,2
tokyo_51031_temporal_spatial,51031,temporal_spatial,49,49,0,1,1,0.732847881017495,2
tokyo_51516_relational_after,51516,relational_after,33,33,0,1,1,0.734280928328242,1
