query_id,user_id,component_id,component_event_count,component_personalization_mass,component_ppr_mass
tokyo_167728_temporal_spatial,167728,4,2,0.0335169566051146,0.0335169566106623
tokyo_167728_temporal_spatial,167728,5,2,0.0338684728698961,0.0338684728812435
tokyo_169053_relational_after,169053,1,25,1,1
tokyo_169053_semantic,169053,1,25,1,1
tokyo_169053_temporal_spatial,169053,1,25,1,1
tokyo_171659_relational_after,171659,1,24,0.923351194169238,0.923351194153999
tokyo_171659_relational_after,171659,2,2,0.0766488058307618,0.0766488058460012
tokyo_171659_semantic,171659,1,24,0.92247987737327,0.922479877358437
tokyo_171659_semantic,171659,2,2,0.0775201226267298,0.0775201226415634
tokyo_171659_temporal_spatial,171659,1,24,0.923050311872465,0.923050311857366
tokyo_171659_temporal_spatial,171659,2,2,0.0769496881275349,0.0769496881426341
tokyo_178798_relational_after,178798,1,2,0.07517146809339,0.0751714681018473
tokyo_178798_relational_after,178798,2,15,0.583572052446663,0.583572052429478
tokyo_178798_relational_after,178798,3,5,0.190407845472164,0.190407845464213
tokyo_178798_relational_after,178798,4,2,0.0756284199675085,0.075628419975753
tokyo_178798_relational_after,178798,5,2,0.0752202140202748,0.0752202140287093
tokyo_178798_semantic,178798,1,2,0.0756756031654043,0.0756756031736268
tokyo_178798_semantic,178798,2,15,0.582250246486804,0.582250246470234
tokyo_178798_semantic,178798,3,5,0.190784616106068,0.190784616097942
tokyo_178798_semantic,178798,4,2,0.0771977988693654,0.0771977988768791
tokyo_178798_semantic,178798,5,2,0.074091735372358,0.0740917353813181
tokyo_178798_temporal_spatial,178798,1,2,0.0759064596342628,0.0759064596423778
tokyo_178798_temporal_spatial,178798,2,15,0.583542241931156,0.583542241913985
tokyo_178798_temporal_spatial,178798,3,5,0.19026331254345,0.190263312535567
tokyo_178798_temporal_spatial,178798,4,2,0.0770566176455054,0.0770566176530848
tokyo_178798_temporal_spatial,178798,5,2,0.0732313682456251,0.0732313682549858
tokyo_19379_relational_after,19379,1,78,0.975466369692851,0.975466369663181
tokyo_19379_relational_after,19379,2,2,0.0245336303071491,0.0245336303368188
tokyo_19379_semantic,19379,1,78,0.974064112793741,0.974064112766683
